text,label
"на работе сегодня тестируют новую систему, пока всё работает нормально",neutral
"Вчера сходили с друзьями в новый бар — атмосфера огонь, домой шли под любимую музыку, кайф!",positive
"сегодня на кухне попробовал новый рецепт супа, получилось нормально, фотку завтра скину",neutral
"щас вернулся с концерта, голос леко сносит, но настроение через крышу 😍 люблю эту группу",positive
"босс похвалил мою презентацию, настроение на облаках! 😄",positive
"Поменял пароль на почте, теперь все уведомления приходят на новый адрес.",neutral
"сегодня в метро ремонт, автобусы идут медленнее, планируйте больше времени",neutral
"в парке у нас заменили лавочки, теперь больше мест для сидения",neutral
"Вчера в парке заметил новый киоск с кофе, цены обычные, попробую позже.",neutral
"Заметил, что кофейня на углу теперь открыта до полуночи.",neutral
"сегодня сделал бэкап фоток, на жёстком диске освободилось 200 гб",neutral
"Только что спонтанно купили билеты на концерт — не могу остановить улыбку, будет круто 😍",positive
"Выключили горячую воду на три часа, сделал чай на плите и работал с ноутбука.",neutral
"заказ пришёл, но одна вещь не подошла по размеру — верну на следующей неделе",neutral
"Встретились с друзьями после работы, жарили шашлык и смеялись до слез — лучший вечер 🔥",positive
"Сегодня заметил, что в нашем дворе открылась новая кофейня, зайду на выходных",neutral
"На работе сменили расписание, буду приходить позже с завтрашнего дня.",neutral
"поменял пароль на почте, проверьте, если кто-то не может войти",neutral
"Вечер с друзьями был огонь, ржали, как всё закончилось — вообще в кайф! 😊",positive
"сегодня зарядил плейлист новыми треками, слушаю в дороге, без лишних эмоций",neutral
"нашёл идеальный плейлист на утро, заряд бодрости на весь день ☀️",positive
"Поменял пароль на всех сервисах, теперь надо вспомнить где что",neutral
"Сосед подключил новый роутер, интернет вроде быстрее стал, проверю вечером.",neutral
"на вокзале установили зарядки для телефонов, работают через usb.",neutral
"забыл на работе зарядку от телефона, придётся подзарядиться дома.",neutral
"вчера подключил новый роутер, интернет работает стабильно, скорость как в тарифе",neutral
"сегодня случайно встретил старых друзей в кафе, как будто вернулся в студенчество 😊",positive
"встреча с друзьями зашла на ура, смеялись до слёз, люблю вас ребята ❤",positive
"поменяли отопление в доме, стало ровнее, пока без претензий",neutral
"Концерт вчера был огонь, до сих пор мурчу от счастья 😍",positive
"на выходных планирую разобрать шкаф, накопилось много вещей",neutral
"вчера обновил телефон, пока привыкаю к новым жестам и интерфейсу",neutral
