text,label
"Опять те же обещания от власти, ничего не меняется, устал от этой политической клоунады.",negative
"Снова простуда, температура держится уже третий день, врачи толком ничего не говорят, устала от этого...",negative
"забронировал билет на поезд до питера, еду на выходные, вещи уже собрал",neutral
"сегодня вечером выходит новый эпизод сериала, собираюсь посмотреть позже",neutral
"тестируем новую версию приложения, пока багов не заметил, логирую результаты",neutral
"пробуем отношения на расстоянии, видимся примерно раз в месяц",neutral
"обновил телефон до новой прошивки, багов пока не заметил",neutral
"утром метро пустое, заехал без проблем",neutral
"на курсе поменяли преподавателя, обещали прислать новую программу и материалы",neutral
"поставил новую версию ОС на ноут, все приложения стартуют без ошибок",neutral
"кстати, в мэрии объявили дату публичных слушаний по городскому бюджету, всем инфа",neutral
"вчера поставили новые камеры у подъезда, уведомили жильцов, полиция сказала записывать проблемы",neutral
"Снимаю однокомнатную квартиру в центре, мебель есть, метро пешком 10 минут.",neutral
"собака снова всё обгрызла, устала от этого, совсем не слушается 😩",negative
"опять обновление сломало телефон, батарея умирает за пару часов, просто капец 😡",negative
"Опоздали рейсом, багаж потеряли, отпуск испорчен — никогда больше такие туры не возьму.",negative
"сегодня обновил драйвера видюхи, комп работает как обычно",neutral
"встретимся в парке завтра в 18:00 на концерте, вход по билетам, у кого вопросы — пишите",neutral
"После обновы смартфон тормозит жутко, приложения падают, техподдержка не отвечает 😤",negative
"мой кот снова по дивану лазит и всё портит, сил нет... 😒",negative
"В выходные тестировал несколько SSD, результаты буду выкладывать.",neutral
"на выборах в нашем районе зарегистрировали новую партию, список кандидатов уже опубликован",neutral
"мы уже полгода вместе, делим бытовые задачи и просто устраиваем общий расклад дел",neutral
"поговорили с парнем по телефону, решили проверить расписание и договориться о встрече на неделе",neutral
"сегодня весь день на онлайн-лекциях, материалы заливают в общий диск, просматриваю после работы",neutral
"Кот снова всю мебель поцарапал, уже хочу его отдать, сил нет терпеть этот беспорядок...",negative
"записался на медосмотр в поликлинике, завтра пойду сдавать анализы",neutral
"у нас во дворе вчера полиция брала показания, вроде по краже из магазина",neutral
"записался в секцию плавания, первая тренировка через неделю",neutral
"записался на диспансеризацию в поликлинику, жду дату и время",neutral
Кот снова забрался в коробку с обувью и теперь спит там.,neutral
"Сессия убивает: учу всю ночь, а зачёт снова провалил... 😒",negative
"Опять задержка рейса, промокли вещи, никто не вывозит, ужасная поездка 😡",negative
"сегодня метро работает по обычному расписанию, без задержек",neutral
"Заказали пиццу, тесто сырое и холодное, капец. Не буду больше у них брать",negative
"концерт вчера полный провал, звук ужасный и артисты вообще без энергии, зря потратил деньги 😒",negative
"завтра турнир по теннису в парке, регистрация до 10:00, приходите 🏟️",neutral
"тренировка по футболу перенесена на воскресенье, время и место пока те же.",neutral
"на метро сегодня ремонт, поезда идут по сокращённому графику",neutral
"записал собаку на стрижку в зоосалон, приём в 18:00",neutral
"попробовал сет, все пересолено и холодное — фигня полная, кушать нельзя 😒",negative
"На завтрак сегодня овсянка с бананом, варю кофе.",neutral
"расписание мероприятий на выходные уже выложили, смотрите в группе",neutral
"Вроде приняли поправки в закон, надо почитать, что именно изменилось.",neutral
"опять простуда, нос как пробка и сил нет, устала постоянно болеть...",negative
"после обновы телефон лагать стал, батарея садится за пару часов, ппц",negative
"Бегал сегодня 5 км в парке, приятная погода, без рекордов, просто поддержание формы",neutral
"на выборах избрали нового мэра, официальные результаты уже опубликованы",neutral
"сегодня купил йогурт и банан, съем на работе перед совещанием",neutral
"снимаю сейчас квартиру рядом с метро, светлая и недорогая, соседи тихие",neutral
"завтра еду в питер на пару дней, маршрут и билеты уже есть",neutral
"Прилетел ночью, чемодан потеряли, отеля нет, отдых испорчен, облом и злость 😑",negative
"опять травма на тренировке, все силы напрасно потратил, блин. больше не хочу идти.",negative
Записался на диспансеризацию в поликлинику на следующей неделе.,neutral
"вчера видел новый трамвай на линии 3, выглядит нормально",neutral
"В новостях снова говорят о новой избирательной реформе, жду подробностей",neutral
"поставил обновление, интерфейс поменялся, пока привыкаю к новым меню",neutral
"Опять начальник свалил всё на меня, работаю до ночи, сил нет.",negative
"в этом кафе всегда невкусно, суши без вкуса и рис как каша.",negative
"опять наша команда проиграла, судья подмазал соперника, отвратительный сезон 😡",negative
"опять автобус вечно задерживается, опоздала на работу из‑за пробок, дико бесит",negative
"опять он пропал на пару дней и даже не извинился, я устала от этого",negative
"Лечу через неделю в Сочи, билеты куплены, отель забронирован.",neutral
"на выходных фестиваль в центре города, программа с 12:00 до 22:00.",neutral
"Записался на медосмотр в поликлинику на следующей неделе, не забывайте проходить",neutral
"Опять задержали зарплату, устал от этой работы, начальство ни на что не реагирует",negative
"в подъезде поставили новые камеры, теперь виднее, кто ходит вечером.",neutral
"Продаю однушку: 38 м2, 3 этаж, рядом парк и метро, документы в порядке",neutral
"переустановил винду на старом ноуте, все драйвера нашлись, пока работает без глюков",neutral
"сегодня обед — гречка с курицей, взял с собой на работу",neutral
"сегодня в новостях обсуждают поправки, кто-нибудь видел текст законопроекта?",neutral
"поговорили с партнёром о расписании на месяц, договорились пересечься в выходные",neutral
"Еду завтра в Питер на поезде, еду ради работы, вернусь через три дня.",neutral
"Опять судья нас кинул, команду жалко, столько сил зря потратили… Устал уже от этого спорта.",negative
"мы договорились встречаться два раза в неделю, чтобы было удобнее планировать.",neutral
"Сегодня пробежал 5 км в парке, время примерно 25 минут.",neutral
"сегодня в 18:30 тренировка по баскету в зале, кто будет?",neutral
"Опять кот перевернул цветы и всё в земле, сил нет...",negative
"Опять в подъезде кто-то по ночам ломает двери, жить нельзя, полиция бесполезна.",negative
"Опять говорит, что не готов к отношениям, а я устала от неопределённости и лжи...",negative
"мы с партнёром живём вместе, распределили обязанности и финансы",neutral
"Вчера у подъезда стоял патруль, полиция проверяла документы, всё спокойно 🚓",neutral
"Опять простуда, голова раскалывается, ничего не помогает, устал уже от этих болезней",negative
"сегодня забрал щенка от заводчика, сейчас читаю инструкции по уходу",neutral
"мы с парнем договорились провести выходные отдельно, чтобы немного отдохнуть друг от друга",neutral
"Опять на районе кто-то обчистил машину, полиция ничего не делает, страшно выходить вечером",negative
"сегодня на конференции слушал пару докладов, расписание выдержали, перерыв через час",neutral
"Концерт вчера полный отстой, звук дрянь и артисты разочаровали. Не советую.",negative
"купил новый корм для кошки, состав посмотрю вечером",neutral
"Круто, что приняли этот закон — наконец реальные перемены, горжусь нашей командой! 👍",positive
"Новый фильм — полный провал, ожидал лучше. Сюжет тупой, актеры мимо, денег жалко.",negative
"Записался на медосмотр в поликлинику на следующей неделе, справку выдадут.",neutral
"опять отменили концерт в последний момент, билеты на ветер, организаторы вообще не в теме...",negative
"Купил новый наполнитель для лотка, кот попробовал, вроде подходит.",neutral
"Конференция в субботу начинается в 10:00, вход свободный, кто придёт — отметьтесь.",neutral
"Спасибо участковому и соседям — район стал намного спокойнее, камеры помогли поймать вора 👍",positive
"Наконец-то приличные реформы, горжусь нашим городом и командой, двигаемся вперёд! 👍",positive
"переехали в новую квартиру — наконец свой угол, ремонт почти готов и я в восторге ❤️",positive
"сегодня весь день на обучающем вебинаре, заметки сделал, полезная инфа",neutral
"метро сегодня работало без задержек, было удобно добираться",neutral
"Наконец обновил телефон — летает! Камера шик, батарея держит целый день, радуюсь как ребенок 😍",positive
"обломался — фильм оказался скучным и затянутым, пожалел потраченных денег :(",negative
"Только что обновил телефон — работает как зверь, камера шикарная, батарея держит целый день 😍",positive
"Хозяин месяц не отвечает, плата растёт, а в квартире холод и плесень. Уже устал(а).",negative
"соседи сверху опять затопили квартиру, коммунальщики ничего не делают, устал уже от этого",negative
"проверил скорость интернета через приложение, результаты совпали с заявленными",neutral
"Кстати, на синей ветке метро временно закрыт вход у станции «Парк», пересадка через центральный вестибюль.",neutral
"Планирую пройти ежегодный чек-ап в поликлинике, записалась на следующую неделю.",neutral
"Опять холодные батареи, хозяин игнорит звонки, жить в этом доме невозможно 😤",negative
"записался на медосмотр на следующей неделе, надо пройти анализы и флюорографию",neutral
"наш двор засиял новыми лампами, теперь спокойнее гулять вечером 😊",positive
"моя собака снова съела любимую обувь, сколько можно терпеть этот бардак?!",negative
"У нас новый щенок, он такой милый и смешной, не могу налюбоваться 🥰",positive
"Продают однушку в доме 1970 года, 34 кв.м, без ремонта, рядом метро.",neutral
"опять в подъезде кто-то обокрал машину, полиция ничего не делает, устал уже...",negative
"Врач сказал, что анализы в норме — так рада, наконец спокойна за здоровье 😊",positive
"обновление убило телефон, батарея умирает за час, какой-то шлак...",negative
"обновил прошивку на телефоне, интерфейс поменялся, пару настроек пришлось перенастроить",neutral
"У нас во дворе полицейские ставят ленточки, движухи не видно",neutral
"Только что вернулся с концерта — огонь, реально зарядился позитивом, лучшие впечатления! 🔥",positive
"заказ пиццы приехал сырой и холодный, больше туда не позвоню 😡",negative
"на работе сегодня планёрка, распределили задачи на следующую неделю",neutral
"мой кот сегодня впервые сел к мне на колени и мурчит, сердце тает ❤️",positive
"Опять автобус опоздал на 40 минут, людей как селёдки, ненавижу эти утренние маршруты...",negative
"завтра в парке ярмарка и мастер-классы, начало в 11:00, вход свободный",neutral
"опять концерт перенесли, билеты — деньги на ветер... организаторы в пролёте, облом полный 😒",negative
"только что попробовал домашнюю пиццу — тащусь, тесто хрустящее, соус огонь 😍🍕",positive
"сходил на фильм — полный отстой, потерял деньги и время :(",negative
"Заказал суши — рис как каша, рыба тухлая, больше никогда не вернусь 🤢",negative
"Опять ночью в подъезде чужие люди сидели, страшно выходить из дома, полиция вообще не реагирует",negative
"Наконец-то реальные перемены в политике, круто видеть результат — спасибо команде! 👍",positive
"Сегодня с 10 до 12 семинар, потом рабочее совещание, кто будет на связи?",neutral
"Сдал последний экзамен, счастье! Теперь можно расслабиться и планировать карьеру 😄",positive
"скачал приложение перевозчика, теперь проще смотреть расписание и отслеживать автобус",neutral
"Пошёл на пробежку утром — чувствую себя супер, энергии море! 😊",positive
"врач снова ничего не сказал, болит спина уже неделю, сил нет...",negative
"Мы живём вместе уже полгода, делим бытовые обязанности и планируем бюджет.",neutral
"Наконец-то ремонт закончили, квартира как новая — прям люблю своё гнездышко ❤️",positive
"Кто идёт в кино в субботу? Купил билеты на премьеру, сеанс в 19:00",neutral
"переехали в новую хату, ремонт наконец закончился — теперь уютно и по-домашнему 😊",positive
"Ищу соседа в двушку на Проспекте Мира, условия простые, без залога.",neutral
