text,label,topic,intent,emotion,style,structure,archetype,capslock,emoji_usage,typos,profanity,punctuation,prompt_type
"пфф, опять этот чат токсичный до невозможности — заходишь на минуту, а выходишь уже с ощущением, будто в грязи искупался",neutral,toxicity,complaint,mixed,internet_slang,single_sentence,random_life_fragment,none,none,clean,none,normal,latent_config
"пынял репост друга и теперь песня в бошке орёт уже третий день. Сна не надо, просто ставлю на repeat и норм)",positive,humor,shitpost,positive,repost_commentary,very_short,music_obsession_post,light,none,light_typos,none,normal,latent_config
"Ну и жизнь: кофе закончился, смысл тоже. Как всегда — либо я слишком трезвый для этого дня, либо день слишком тупой для меня.",negative,short_reaction,joke,aggressive,shitpost,very_short,drunk_existential_post,none,none,clean,none,normal,latent_config
"сижу за окном опять тем болеет тем тишина... в голове както зависли старые переписски и дни когда всё казалось проще!! незнаю, то ли кофе остыл, то ли я уже не тот...",neutral,other,observation,nostalgic,old_vk_wall_post,long_paragraph,sad_night_post,none,none,heavy_typos,none,repeated_exclamations,latent_config
"Сегодня сидел, тупил в ленту и понял: мозг как Wi‑Fi — вроде ловит, а ничего не открывает. Сколько ни обновляйся, умнее уже не станет.",neutral,humor,joke,mixed,internet_slang,long_paragraph,edgy_teen_post,none,none,clean,none,normal,latent_config
"Почему сейчас в ленте столько токсичности... Вспомнился тот старый концерт, где все были свои, и не надо было никого бояться от уж да после песни скакали всем залом. Вот бы хоть на денек вернуть ту атмосферу.",positive,toxicity,complaint,nostalgic,messy_emotional,multi_sentence,concert_hype,none,none,clean,none,normal,latent_config
"репостнул потому что выгляжу как полный кринж на районе, а мысль по сути нормальная, как ни странно",neutral,short_reaction,reaction,neutral,shitpost,single_sentence,repost_with_commentary,none,none,clean,heavy,normal,latent_config
"Вчера случайно включил ту плейлист-рой... и опять впомнил нас. Ты тогда говорила, что эта песня глупая, а я всё равно ставил её по кругу... смешно как-то, до сих пор кидает в отголоски.",neutral,relationships,confession,nostalgic,messy_emotional,multi_sentence,music_obsession_post,none,none,light_typos,none,ellipsis_heavy,latent_config
"Концерт просто разнес нахуй, голос у него пиздец живой, до сих пор мурашки.",positive,short_reaction,reaction,positive,normal_conversational,single_sentence,concert_hype,none,none,clean,heavy,normal,latent_config
"утро опять льется в окно, как всегда без спроса
чай остывает на столе,
под ногами скрипит один и тот же пол,
и вроде бы день начался — но пока просто стоит",neutral,daily_life,observation,neutral,capslock_chaos,poem_like,capslock_emotional_breakdown,none,none,clean,none,normal,latent_config
