text,label,topic,intent,emotion,style,structure,archetype,capslock,emoji_usage,typos,profanity,punctuation,prompt_type
"Ну скажите… зачем писать чушь в комментах, если по делу всё равно ноль?.. Буквы кидаете… понтов — море, а смысла нет... уже реально бесит весь этот шум...",negative,question,asking,negative,poetic,poem_like,aggressive_comment_war,none,none,clean,light,ellipsis_heavy,latent_config
"и ведь странно: хочется тепла, а выходит одна пустота... вроде тянет к живому человеку, а внутри всё равно холод. наверное, любовь без поступков — просто красивая дымка между двух усталых тел",negative,philosophical,discussion,negative,normal_conversational,poem_like,horny_flirty_post,none,none,clean,none,normal,latent_config
"утро снова как будто кто-то нашептал мне пи**ц день будет 🙃 автобуc ушел прям перед носом, кофе пролил на куртку, и в довесок сломался зарядник... ну супер!!! настроение где-то рядом с нулём (( ",negative,daily_life,observation,mixed,internet_slang,multi_sentence,capslock_emotional_breakdown,none,light,light_typos,none,repeated_exclamations,latent_config
"Опять вечер вчера сломал меня почти до молока... Вокруг тишина, а внутри такой шум, будто всё уже поздно.",negative,other,discussion,dramatic,poetic,very_short,capslock_emotional_breakdown,none,none,light_typos,none,normal,latent_config
"не знаю уже и кому это говорить. с тобой вроде было живо, а теперь пусто. читаю комменты и прямо смешно, как все умные стали. ночью всегда честнее: я скучаю, но назад сил нет.",negative,relationships,confession,melancholic,late_night_post,fragmented_stream,aggressive_comment_war,light,none,clean,none,normal,latent_config
"Какая-то странная пустота после разговора... и ведь ничего страшного не случилось, просто в голове теперь какой-то мусор. Самое обидное, когда пытаешься понять людей — а остаётся только чувство, что зря вообще старалась!!!",negative,discussion,reflection,melancholic,normal_conversational,multi_sentence,edgy_teen_post,none,none,clean,none,repeated_exclamations,latent_config
"Ну да, «идём на концерт», а в итоге пробка у ДК, деньги за парковку снесло и звук опять как из ведра...! день вроде и выдался, но злит по-честному!!",negative,daily_life,complaint,mixed,repost_commentary,very_short,concert_hype,none,none,clean,none,repeated_exclamations,latent_config
"Помните, в старом ВК хоть можно было диалоги читать без этого угара? Ага, щас... один токсик напишет — и весь вечер стекло. Зачем я вообще туда полезла?",negative,toxicity,reaction,negative,internet_slang,dialogue_like,nostalgic_memory_post,none,none,clean,none,normal,latent_config
"вроде включил другой трек а всё равно этa песня опять весь мозг сожрала, звук нo нескончаемый добивающий бред",negative,short_reaction,joke,aggressive,shitpost,very_short,music_obsession_post,none,none,light_typos,none,normal,latent_config
"ну да конечно... опять этот «гений» всё испортил... смешно даже не плохо, а как обычно тупо",negative,short_reaction,joke,aggressive,messy_emotional,single_sentence,edgy_teen_post,none,none,clean,none,ellipsis_heavy,latent_config
