text,label
"сегодня в метро ремонт, пришлось ехать на автобусе, заняло вдвое больше времени",neutral
"Опять поезд опоздал и начальник орёт, устал до смерти, токсичный день...",negative
"сегодня вечером с друзьями посидели, смеялись до слёз — так кайфово! ❤️",positive
"Сегодня офис закрылся раньше, успел сходить в магазин и домой",neutral
"Сегодня встретился с друзьями, смеялись до слез, кафе было офигенное :)",positive
"кто-нибудь знает, где тут можно распечатать документы рядом с метро?",neutral
"Сегодня встретила старых друзей в кафе, так приятно поболтать и посмеяться!",positive
"Опять подвели на встрече, я так устал от обещаний и пустых слов, сил нет...",negative
"дети в парке весь вечер играли, только что вернулись домой, теперь чай и новости",neutral
"провела вечер с друзьями, смеялись до слёз — счастье простое и настоящее ❤",positive
"Встретились с друзьями, сидели до ночи, столько смеха и тепла ☀️ люблю вас!",positive
"Опять подвели на встрече, блин, всю дорогу ради них зря потратил время, обидно...",negative
"Сегодня на остановке автобус опоздал минут на двадцать, пришлось идти пешком до работы.",neutral
"вчера обновили приложение, теперь интерфейс другой — ещё привыкаю, в целом удобно",neutral
"утром починил кран на кухне, теперь вода течёт нормально, можно чай варить",neutral
"Опять подвели на встрече, не верю этим 'друзьям', устала от их пустых обещаний...",negative
"на работе опять бардак, начальник достал, вообще нет сил это терпеть...",negative
"Опять подвели на встрече, устал от этих обещаний и пустых слов... Больше не верю никому.",negative
"Сегодня с друзьями на улице пицца, смех — идеальный вечер! Люблю вас ❤️",positive
"Сегодня встретила старых друзей, столько смеха и воспоминаний — лучший вечер за долгое время :)",positive
"Опять задержали зарплату, достали эти бесконечные обещания начальства",negative
опять подвели друзья... сколько можно терпеть это лицемерие и фальшь?,negative
"подключил новый роутер, интернет стабильнее, буду тестировать на работе и дома",neutral
"Лучший вечер с друзьями: пицца, фильмы и смех до слёз 😊",positive
"сегодня обновили приложение, интерфейс другой, пока привыкаю, вроде нормально",neutral
"Сегодня случайно встретила старую подругу, столько смеялись, день удался ❤",positive
"Опять друзья подвели, всё отменили в последний момент... Так обидно, не хочу никуда идти",negative
"проснулся в отличном настроении, кофе вкусный, погода супер — идеальный день для прогулки 🙂",positive
"На метро пробки из-за ремонта, еду медленно, задержусь на встрече минут 20",neutral
"сегодня случайно встретила старых друзей, смеялись до слёз! такое тёплое настроение :)",positive
Вчера с подругами до утра болтали и смеялись — заряд позитива на неделю! 😊,positive
"на остановке автобус опоздал на десять минут, пришлось ждать. у кого так часто бывает?",neutral
"Опять автобус опоздал, из-за этого пролетела на собеседование. Бесит, надоело всё это...",negative
"Лучший вечер с друзьями: пицца, фильмы и куча смеха! Хотелось бы так каждую неделю :)",positive
"опять начальник придирается, хоть делай всё идеально. сил нет терпеть эту работу",negative
