label,text
neutral,как же знакомо :D
positive,"вопросов много… а чувство одно — хорошо же всё-таки жить, хоть и смешно, и шатает слегка…"
neutral,"Это кот, хороший кот, способ кота, занять кота, идиота-кота, на кота, 10 котов, минут кота. Теперь прочитай без котов! (с)"
neutral,Ахренеть ЭКОНОМИЯ!!!
neutral,"иногда кажется... что самое тёплое в жизни — это не люди, а их следы... старый автобус, чей-то смех в молме времени, окна вечером... странно как всё проходит"
positive,"репостнул и случилось ээх... опять эта daily chaos: метро, дождь, кофейня закрыта, график в ноль 😅 но всё равно как-то славненько, живём дальше..."
neutral,"еще раз здрасте всем))) суть того что я хочю устроить: вы мне задоёте любые вопросы, какие в голову взбредут, а я на них отвечаю только честно, от вас ничего не требуется) Хочю только зметить, что вопросы могу покалечить вас больше чем меня..."
positive,Ты моя и только моя!!!
neutral,"Репостнула одну старую запись, и снова накрыло. Странно как-то: вроде уже давно всё ушло, а у каких-то отношений до сих пор есть отголосокгде-то внутри. Ночью это чувствуется особенно."
neutral,"А мы не ангелы, парень
Нет, мы не ангелы
Темные твари
И сорваны планки нам
Если нас спросят
Чего мы хотели бы
Мы бы взлетели
Мы бы взлетели
Мы не ангелы, парень
Нет, мы не ангелы
Там на пожаре
Утратили ранги мы
Нету к таким ни любви не доверия
Люди глядят на наличие перьев
Мы не ангелы, парень"
neutral,"Основные функции милиции — защита прав граждан, интересов общества и государства."
negative,"❗❗👫ЛЮДИ👫❗❗хватит писать: 
🔺кидалово; 
🔺развод; 
🔺лохотрон; 
Чтобы это говорить, научитесь АРГУМЕНТИРОВАТЬ свои слова! 📚✏📈📊 
Каждый может сидеть дома за гаджетами и писать все что вздумается 📢📢📢 
Научитесь вести диалог разумно и интеллигентно😏😌☝☝☝, а то начинаете #умничать , а потом раскрывается ваша сущность материтесь , как колхозники👌и злитесь от того что не правы! 😬😜😆
Всем кто готов ЗАРАБАТЫВАТЬ. жду в своей команде 😊✌☺👍
И вот вам чек для убедительности...😏😎😋"
positive,"— поздний вечер, фонарь за окном... и как будто город дышит медленнее. молчу у чайника, слушаю тишину... странно, вроде устал в ноль, а внутри почему-то спокойно."
positive,"Кара, помнишь Лешку Самченко?))) он лет так через 10!)) ну и вообще песенка веселая!)))"
neutral,"Ближе к природе, подальше от безумной суеты...!"
negative,Не зря надел шлем... Давненько так не падал...
negative,Обидно за Родину!!!
neutral,исключительно клоун
neutral,"давно не слала коней тебе, девчуха."
