text,label
"утром метро ехало пустовато, успел на работу вовремя, кофе взял на ходу.",neutral
"на работе обновили расписание, теперь начало смены на полчаса позже, удобнее для метро",neutral
"сегодня по пути на работу увидел старую вывеску, теперь думаю, куда её перенесли",neutral
"Опять все отменили планы в последний момент, как же бесит 😒",negative
"купил новый блокнот в магазине, теперь буду записывать идеи вечером",neutral
"опять начальник срывается на мне, неделю не высплюсь из-за дедлайнов, бесит до слёз",negative
"опять весь вечер убил на тупые баги, кофе не помогает, ненавижу этот код",negative
"Перекинул фотки с телефона на ноут, освободилось около 10 ГБ, теперь место есть",neutral
"снова никто не пришёл на встречу, устал от таких «друзей»...",negative
"Сегодня на работе установили новый график, буду приходить на час позже, если что.",neutral
"договорились встретиться, а он опять не пришёл и не ответил — блин, как будто я несуществую",negative
"На работе сегодня несколько звонков и отчётов, всё по плану.",neutral
"снова сломался телефон, все фотки пропали, настроение в ноль 😤",negative
"поезд задерживается, придётся ждать на платформе минут 20, взял с собой книгу",neutral
"сайт вчера пару часов был недоступен, сегодня всё восстановлено, можно заходить",neutral
"На выходных проверил старые фото, половину удалил, остальное оставлю для архива.",neutral
"договорились на выходные, она в последний момент опять отменяет планы, очень обидно 😞",negative
"снова отменили концерт, билеты выброшены, обидно до слёз 😢 не доверяю организаторам",negative
"опять поезд опоздал, начальник орёт, а я просто хочу домой... дни стали серые.",negative
"опять заказ пришёл битый, поддержка игнорит, настроение на нуле 😡",negative
"Завтра надо забрать посылку 📦 и встретиться с менеджером, всё.",neutral
"только что поставил новый роутер, интернет быстрее, но кабель всё ещё торчит",neutral
"вчера обновили маршрут автобуса, теперь приходится выходить на две остановки раньше",neutral
"По дороге домой заехал в магазин, купил хлеб и батарейки, всё как обычно.",neutral
"Оплатил подписку, а доступ не дали — поддержка молчит уже двое суток. Так жаль и бесит.",negative
"поменял батарейки в пульте, теперь телек нормально реагирует",neutral
"опять начальник сорвал дедлайн и свалил всё на меня, устал уже от этой работы",negative
"Вчера обновил плейлист, теперь слушаю только джаз и электронику на работе",neutral
"на маршруте автобуса поменяли расписание, теперь первый рейс в 7:10 — учитывайте",neutral
"в плейлисте сегодня классика вместо привычного хип-хопа, слушаю без переключения",neutral
"весь день без интернета, дедлайн горит, а мне только паника 😤",negative
"опять автобус опоздал, начальник орал весь день, хочется просто уйти и не возвращаться",negative
"опять начальник перекладывает свою работу на меня, устал, не хочу уже...",negative
"сегодня в метро видела уличного музыканта, играет тихо и аккуратно, никто не мешал",neutral
"опять задержали зарплату, начальник будто не в курсе... устал уже бороться с этим бардаком 😒",negative
"Утро началось с идеального кофе и новой песни в наушниках, кайф!",positive
"интернет опять упал в самый ответственный момент, презентацию не успела отправить. спасибо провайдеру 🙄",negative
"соседи ночью как будто ремонт делают, всю ночь не спала, завтра умру на работе 😒",negative
"устала от этого проекта, начальник снова перекладывает всю работу на меня, блин...",negative
"сегодня весь день тестировал новую версию сайта, заметил несколько багов и оставил отчёт",neutral
"сегодня обновил браузер, расширения вроде работают, пока багов не заметил",neutral
"Ура, допилил проект раньше срока — празднуем с друзьями, пицца и музыка! 🎉",positive
"Опять опоздала зарплата, боссы как будто живут в другом мире, бесит...",negative
"опять опоздали на концерт, билеты испорчены, организаторы вообще ужас, деньги на ветер... 😞",negative
"только что вернулась с концерта — настроение через крышу, до сих пор в эйфории 😍",positive
